Expression Name,Expression,Detailed Explanation
AI Agent: parameters.text,{{ $json.text }},Retrieves the 'text' field from the JSON data of the previous node
AI Agent: parameters.text,={{ $json.text }},Retrieves the 'text }}' field from the JSON data of the previous node
AI Agent1: parameters.text,{{ $('Extract from File').item.json.text }},"Fetches data from the 'Extract from File' node, specifically accessing the text field"
AI Agent1: parameters.text,{{ $json.output.extracted_data.invoice_number }},Retrieves the 'invoice_number' field from the JSON data of the previous node
AI Agent1: parameters.text,{{ $json.output.extracted_data.invoice_date }},Retrieves the 'invoice_date' field from the JSON data of the previous node
AI Agent1: parameters.text,{{ $json.output.extracted_data.billed_to }},Retrieves the 'billed_to' field from the JSON data of the previous node
AI Agent1: parameters.text,{{ $json.output.extracted_data.company }},Retrieves the 'company' field from the JSON data of the previous node
AI Agent1: parameters.text,{{ $json.output.extracted_data.total_amount }},Retrieves the 'total_amount' field from the JSON data of the previous node
AI Agent1: parameters.text,{{ $json.output.extracted_data.bank_name }},Retrieves the 'bank_name' field from the JSON data of the previous node
AI Agent1: parameters.text,{{ $json.output.extracted_data.account_number }},Retrieves the 'account_number' field from the JSON data of the previous node
AI Agent1: parameters.text,"=Extracted from invoice: 
{{ $('Extract from File').item.json.text }}

Recorded:
- invoice_number: {{ $json.output.extracted_data.invoice_number }}
- invoice_date: {{ $json.output.extracted_data.invoice_date }}
- billed_to: {{ $json.output.extracted_data.billed_to }}
- company: {{ $json.output.extracted_data.company }}
- total_amount: {{ $json.output.extracted_data.total_amount }}
- bank_name: {{ $json.output.extracted_data.bank_name }}
- account_number: {{ $json.output.extracted_data.account_number }}","Dynamic expression in agent node: Extracted from invoice: 
{{ $('Extract from File').item.json.text }}

Recorded:
- invoice_number: {{ $json.output.extracted_data.invoice_number }}
- invoice_date: {{ $json.output.extracted_data.invoice_date }}
- billed_to: {{ $json.output.extracted_data.billed_to }}
- company: {{ $json.output.extracted_data.company }}
- total_amount: {{ $json.output.extracted_data.total_amount }}
- bank_name: {{ $json.output.extracted_data.bank_name }}
- account_number: {{ $json.output.extracted_data.account_number }}"
