Expression Name,Expression,Detailed Explanation
Create directory: parameters.command,{{ $execution.id }},Dynamic expression in executeCommand node: $execution.id
Create directory: parameters.command,=mkdir -p /tmp/n8n/{{ $execution.id }},Dynamic expression in executeCommand node: mkdir -p /tmp/n8n/{{ $execution.id }}
AI Agent: Buying Situation: parameters.text,{{ $('On form submission').item.json.Concept }},"Fetches data from the 'On form submission' node, specifically accessing the Concept field"
AI Agent: Buying Situation: parameters.text,{{ $('On form submission').item.json.Product }},"Fetches data from the 'On form submission' node, specifically accessing the Product field"
AI Agent: Buying Situation: parameters.text,"=concept: {{ $('On form submission').item.json.Concept }}
product: {{ $('On form submission').item.json.Product }}","Dynamic expression in agent node: concept: {{ $('On form submission').item.json.Concept }}
product: {{ $('On form submission').item.json.Product }}"
Simple Memory: parameters.sessionKey,{{ $execution.id }},Dynamic expression in memoryBufferWindow node: $execution.id
Simple Memory: parameters.sessionKey,{{ $now }},Dynamic expression in memoryBufferWindow node: $now
Simple Memory: parameters.sessionKey,={{ $execution.id }}{{ $now }},Dynamic expression in memoryBufferWindow node: {{ $execution.id }}{{ $now }}
story_board_gen: parameters.text,"{{ $fromAI(""advertisement_brief"") }}","Dynamic expression in agentTool node: $fromAI(""advertisement_brief"")"
story_board_gen: parameters.text,"={{ $fromAI(""advertisement_brief"") }}","Dynamic expression in agentTool node: {{ $fromAI(""advertisement_brief"") }}"
story_board_gen: parameters.options.systemMessage,"=You are a product advertisement creative agent. You take incoming advertisement brief and turn them into a storyboard containing 3 image prompts (beginning, middle, end).

You must respond only with a valid JSON object in the following format, with no additional text outside the JSON:

Example
{
  ""storyboard"": [
    {
      ""stage"": ""beginning"",
      ""prompt"": ""...""
    },
    {
      ""stage"": ""middle"",
      ""prompt"": ""...""
    },
    {
      ""stage"": ""end"",
      ""prompt"": ""...""
    }
  ]
}
","Message or content field populated with: You are a product advertisement creative agent. You take incoming advertisement brief and turn them into a storyboard containing 3 image prompts (beginning, middle, end).

You must respond only with a valid JSON object in the following format, with no additional text outside the JSON:

Example
{
  ""storyboard"": [
    {
      ""stage"": ""beginning"",
      ""prompt"": ""...""
    },
    {
      ""stage"": ""middle"",
      ""prompt"": ""...""
    },
    {
      ""stage"": ""end"",
      ""prompt"": ""...""
    }
  ]
}"
Form: parameters.completionMessage,{{ $json.output.video.url }},Retrieves the 'url' field from the JSON data of the previous node
Form: parameters.completionMessage,={{ $json.output.video.url }},Retrieves the 'url }}' field from the JSON data of the previous node
