topic,original_joke,predicted_joke,score
Dating,"I used to go out with a giraffe. Used to take it to the pictures and that. You'd always get some bloke complaining that he couldn't see the screen. It's a giraffe, mate. What do you expect? 'Well he can take his hat off for a start!'","Dating feels like haggling in a used bookstore: you both insist your worn paragraphs are first editions, swap apologetic receipts, and leave pretending you found a better novel",0.8
Life Perception,When people say 'life is short'. What the f***? Life is the longest damn thing anyone ever f***ing does! What can you do that's longer?,"I curate my life perception like a museum: flattering lighting on the good works, embarrassing failures shoved in the basement labeled ""archival experiments"" and sold to visitors as a contemporary installation.",0.8
Cinema,"When people say while watching a film 'did you see that? No tosser, I paid ten quid to come to the cinema and stare at the f***ing floor.","Going to the cinema is communal rehearsals for feeling: we sob on cue, clap to prove we understood, then argue in whispers over who gets the soggy umbrella in Row F.",0.72
Film Industry,"I'm a huge film star, but you have to hurry to the movies because I usually die in the first 15 f***ing minutes. I'm the only guy I know who died in a f***ing Muppet Movie.","The film industry worships authenticity—actors compost for character, extras memorize subway routes—while studios outsource reality to location scouts who buy a rented neighborhood by stealing a Goodwill couch.",0.8
Fishing,"Give a man a fish, and he'll probably follow you home expecting more fish.","Fishing is where adults rehearse grief: you sit for hours, practice the exact grateful silence for a creature you hope to interrupt, then go home and deliver a triumphant eulogy.",0.8800000000000001
Afterlife,I doubt there's a heaven; I think the people from hell have probably bought it for a timeshare.,I pictured the afterlife as cosmic revelation; instead it's a municipal map where your neighborhood is decided by unpaid favors — I inherited a bungalow labeled overdue library book.,0.8800000000000001
Folklore,"I've never worked out what the moral of Humpty Dumpty is. I can only think of: Don't sit on a wall, if you're an egg.",In small towns folklore isn't about witches; it's the town's passive-aggressive maintenance—stories people repeat to keep strangers from fixing the cemetery fence.,0.8
Memory,"Apparently smoking cannabis can affect your short term memory. Well if that's true, what do you think smoking cannabis does?","My memory files things by smell: it preserves one childhood kiss in amber and files my wedding vows under ""take‑out receipt"".",0.8800000000000001
Sarcasm,Someone showed me a photograph of my local MP the other day. 'Would you buy a second-hand car from this man?' they asked. 'Would you buy a second-hand car?' I replied.,"I teach my kids sarcasm like a survival skill—less about being funny, more about pretending you read the fine print and still signing a divorce certificate.",0.72
Drinking,"My father drank so heavily, when he blew on the birthday cake he lit the candles.",We don't measure sobriety by breathalyzers anymore; my friends stage elaborate drinking swan songs and I catalogue them like fragile museum artifacts—last night's cliff dive is my new exhibit.,0.72
Culture,"With stand-up in Britain, what you have to do is bloody swearing. In Germany, we don't have to swear. Reason being, things work.","Culture used to be shared stories; now it feels like a museum where the exhibit is your quarterly KPI, the curator is middle management, and everyone whispers at the shrine of laminated PowerPoints.",0.8
Social Class,You know you're working class when your TV is bigger than your book case.,"Growing up lower-middle, I learned class as a secret handshake: never name your therapist, underplay your shoes, and judge guests by their napkin fold.",0.72
Relaxation,"A spa hotel? It's like a normal hotel, only in reception there's a picture of a pebble.","Relaxation has become a boutique ritual—guided breaths, oat‑milk candles—then I truly relax by accidentally leaving my phone at a café and falling into an unplanned, glorious doze.",0.72
Technology,"My phone will ring at 2am and my wife'll look at me and go, ""Who's that calling at this time?"" I say, ""I don't know. If I knew that we wouldn't need the bloody phone.""","At every demo day founders chant ""scalability"" like a prayer, then hand investors a postcard: a cramped beta with duct tape and a sleeping engineer under the conference table.",0.6799999999999999
Sports,"If I was an Olympic athlete, I'd rather come in last than win the silver medal. You win the gold, you feel good. You win the bronze, you think, 'at least I got something.' But you win that silver, that's like, 'Congratulations, you almost won! Of all the losers, you came in first! You're the number one loser! No one lost ahead of you!'","Watching sports is the only socially sanctioned therapy where adults sob over a fumble, then line up to get the perpetrator’s autograph like nothing happened—proof we forgive on paper.",0.6799999999999999
Childhood,As a kid I was made to walk the plank. We couldn't afford a dog.,"Childhood was training in small betrayals: promising to share cookies, then building a secret stash so elaborate your adult self still hides snacks behind office paperwork.",0.76
Dating,I like a woman with a head on her shoulders. I hate necks.,"Dating feels like haggling in a used bookstore: you both insist your worn paragraphs are first editions, swap apologetic receipts, and leave pretending you found a better novel",0.8
