Expression Name,Expression,Detailed Explanation
HTTP Request1: parameters.url,"{{ $json[""blog urls""] }}","Accesses JSON data from the previous node: $json[""blog urls""]"
HTTP Request1: parameters.url,"={{ $json[""blog urls""] }}","Accesses JSON data from the previous node: {{ $json[""blog urls""] }}"
normalize urls: parameters.assignments.assignments[0].value,"{{ $json.urls && typeof $json.urls === ""string"" && $json.urls.trim() !== """"
    ? (
        $json.urls.startsWith(""/"") || $json.urls.startsWith(""./"")
          ? $('Transform to JSON').item.json[""Url""].split(""/"").slice(0,3).join(""/"") + ""/"" + $json.urls.replace(/^\.?\//,"""").trim()
          : $json.urls.startsWith(""#"")
            ? $('Transform to JSON').item.json[""Url""].split(""/"").slice(0,3).join(""/"") + ""/"" + $json.urls.trim()
            : $json.urls.trim()
      )
    : null }}","Uses fallback logic - tries multiple data sources in order: $json.urls && typeof $json.urls === ""string"" && $json.urls.trim() !== """"
    ? (
        $json.urls.startsWith(""/"") || $json.urls.startsWith(""./"")
          ? $('Transform to JSON').item.json[""Url""].split(""/"").slice(0,3).join(""/"") + ""/"" + $json.urls.replace(/^\.?\//,"""").trim()
          : $json.urls.startsWith(""#"")
            ? $('Transform to JSON').item.json[""Url""].split(""/"").slice(0,3).join(""/"") + ""/"" + $json.urls.trim()
            : $json.urls.trim()
      )
    : null"
normalize urls: parameters.assignments.assignments[0].value,"={{
  $json.urls && typeof $json.urls === ""string"" && $json.urls.trim() !== """"
    ? (
        $json.urls.startsWith(""/"") || $json.urls.startsWith(""./"")
          ? $('Transform to JSON').item.json[""Url""].split(""/"").slice(0,3).join(""/"") + ""/"" + $json.urls.replace(/^\.?\//,"""").trim()
          : $json.urls.startsWith(""#"")
            ? $('Transform to JSON').item.json[""Url""].split(""/"").slice(0,3).join(""/"") + ""/"" + $json.urls.trim()
            : $json.urls.trim()
      )
    : null
}}","Uses fallback logic - tries multiple data sources in order: {{
  $json.urls && typeof $json.urls === ""string"" && $json.urls.trim() !== """"
    ? (
        $json.urls.startsWith(""/"") || $json.urls.startsWith(""./"")
          ? $('Transform to JSON').item.json[""Url""].split(""/"").slice(0,3).join(""/"") + ""/"" + $json.urls.replace(/^\.?\//,"""").trim()
          : $json.urls.startsWith(""#"")
            ? $('Transform to JSON').item.json[""Url""].split(""/"").slice(0,3).join(""/"") + ""/"" + $json.urls.trim()
            : $json.urls.trim()
      )
    : null
}}"
Exclude external URLS: parameters.conditions.conditions[0].leftValue,"{{ $('Transform to JSON').all().some(x => $json.normalizedUrl.startsWith(x.json[""Url""])) }}","Sets a variable value using: $('Transform to JSON').all().some(x => $json.normalizedUrl.startsWith(x.json[""Url""]))"
Exclude external URLS: parameters.conditions.conditions[0].leftValue,"={{ $('Transform to JSON').all().some(x => $json.normalizedUrl.startsWith(x.json[""Url""])) }}","Sets a variable value using: {{ $('Transform to JSON').all().some(x => $json.normalizedUrl.startsWith(x.json[""Url""])) }}"
Insert rows in a table1: parameters.columns.value.normalized_url,{{ $json.normalizedUrl }},Retrieves the 'normalizedUrl' field from the JSON data of the previous node
Insert rows in a table1: parameters.columns.value.normalized_url,={{ $json.normalizedUrl }},Retrieves the 'normalizedUrl }}' field from the JSON data of the previous node
Insert rows in a table1: parameters.columns.value.source_site,{{ $('Transform to JSON').item.json.Url }},"Fetches data from the 'Transform to JSON' node, specifically accessing the Url field"
Insert rows in a table1: parameters.columns.value.source_site,={{ $('Transform to JSON').item.json.Url }},Sets a variable value using: {{ $('Transform to JSON').item.json.Url }}
Contains new entries: parameters.conditions.conditions[0].leftValue,{{ ($json.success === true && $items().length > 0).toString() }},Retrieves the 'toString()' field from the JSON data of the previous node
Contains new entries: parameters.conditions.conditions[0].leftValue,={{ ($json.success === true && $items().length > 0).toString() }},Retrieves the 'toString() }}' field from the JSON data of the previous node
set new URLs: parameters.assignments.assignments[0].value,{{ $json.normalized_url }},Retrieves the 'normalized_url' field from the JSON data of the previous node
set new URLs: parameters.assignments.assignments[0].value,={{ $json.normalized_url }},Retrieves the 'normalized_url }}' field from the JSON data of the previous node
Message a model: parameters.messages.values[0].content,{{ $json.new_urls }},Retrieves the 'new_urls' field from the JSON data of the previous node
