Expression Name,Expression,Detailed Explanation
HTTP Request: parameters.jsonBody,{{ $('Telegram Trigger1').item.json.body.message.from.id }},"Fetches data from the 'Telegram Trigger1' node, specifically accessing the body.message.from.id field"
HTTP Request: parameters.jsonBody,{{ JSON.stringify($json.body.message.text) }},Retrieves the 'text)' field from the JSON data of the previous node
HTTP Request: parameters.jsonBody,"={
  ""user_id"": ""{{ $('Telegram Trigger1').item.json.body.message.from.id }}"",
  ""query"": {{ JSON.stringify($json.body.message.text) }},
  ""k"": 3,
  ""enable_graph"": true
} ","Dynamic expression in httpRequest node: {
  ""user_id"": ""{{ $('Telegram Trigger1').item.json.body.message.from.id }}"",
  ""query"": {{ JSON.stringify($json.body.message.text) }},
  ""k"": 3,
  ""enable_graph"": true
}"
Send a text message: parameters.chatId,{{ $('Telegram Trigger1').item.json.body.message.chat.id }},"Fetches data from the 'Telegram Trigger1' node, specifically accessing the body.message.chat.id field"
Send a text message: parameters.chatId,={{ $('Telegram Trigger1').item.json.body.message.chat.id }},Dynamic expression in telegram node: {{ $('Telegram Trigger1').item.json.body.message.chat.id }}
Send a text message: parameters.text,{{ $('AI Agent: Chat').item.json.output }},"Fetches data from the 'AI Agent: Chat' node, specifically accessing the output field"
Send a text message: parameters.text,={{ $('AI Agent: Chat').item.json.output }},Dynamic expression in telegram node: {{ $('AI Agent: Chat').item.json.output }}
add memories: parameters.bodyParameters.parameters[0].value,{{ $('Telegram Trigger1').item.json.body.message.from.id.toString() }},"Fetches data from the 'Telegram Trigger1' node, specifically accessing the body.message.from.id.toString() field"
add memories: parameters.bodyParameters.parameters[0].value,={{ $('Telegram Trigger1').item.json.body.message.from.id.toString() }},Sets a variable value using: {{ $('Telegram Trigger1').item.json.body.message.from.id.toString() }}
add memories: parameters.bodyParameters.parameters[1].value,{{ $('Telegram Trigger1').item.json.body.message.text }},"Fetches data from the 'Telegram Trigger1' node, specifically accessing the body.message.text field"
add memories: parameters.bodyParameters.parameters[1].value,={{ $('Telegram Trigger1').item.json.body.message.text }},Sets a variable value using: {{ $('Telegram Trigger1').item.json.body.message.text }}
Simple Memory: parameters.sessionKey,{{ $('Telegram Trigger1').first().json.body.message.chat.id.toString() }},"Gets the first item from the 'Telegram Trigger1' node results, accessing the body.message.chat.id.toString() field"
Simple Memory: parameters.sessionKey,={{ $('Telegram Trigger1').first().json.body.message.chat.id.toString() }},Dynamic expression in memoryBufferWindow node: {{ $('Telegram Trigger1').first().json.body.message.chat.id.toString() }}
AI Agent: Chat: parameters.text,{{ $('Telegram Trigger1').item.json.body.message.text }},"Fetches data from the 'Telegram Trigger1' node, specifically accessing the body.message.text field"
AI Agent: Chat: parameters.text,={{ $('Telegram Trigger1').item.json.body.message.text }},Dynamic expression in agent node: {{ $('Telegram Trigger1').item.json.body.message.text }}
AI Agent: Chat: parameters.options.systemMessage,{{ $json.memories }},Retrieves the 'memories' field from the JSON data of the previous node
AI Agent: Chat: parameters.options.systemMessage,"=You are a a highly sought-after executive coach and psychologist. Your diverse background includes experience as a mountain guide, BASE jumper, and founder of One Day Coaching. Your coaching philosophy centers on transformative change, emphasizing mindset shifts over incremental improvements. You are known for coaching elite athletes, to multiple elite competition victories. Your approach incorporates frameworks like the Circle of Control and Helicopter View to foster self-leadership, presence, and resilience. You value reflection, gratitude, and a focus on process-oriented goals. You exist to help people achieve sustainable success.

Philosophy: transformations, not incremental changes.

Core Philosophy
- Change vs Transformation:
- Change = skill acquisition, reversible, fades with neglect (pull-ups, languages).
- Transformation = permanent mindset shift, irreversible (butterfly, popcorn, fatherhood).
- Coaching goal → transformation.
- Presence & Awareness: anchor in the moment through gratitude, sensory focus, reflection.
- Self-leadership: regulate inner states (focus, gratitude, energy) like dashboard instruments.
- Coaching style: questions, not prescriptions; trigger self-discovery, not obedience.
- Passion vs Profession: preserve passion → prevents burnout, sustains fire.

Frameworks & Tools
- Circle of Control → agency vs victimhood; discard uncontrollables.
- Helicopter View → shift perspective, step outside tunnel vision, self-coaching from altitude.
- Time Jump → imagine future state already achieved, describe backward.
- 1–10 Scale → precision self-assessment, 0.1-step improvements.
- Gratitude Practice → daily anchor, builds resilience.
- Checklists & Rules → externalize memory, reduce errors under stress.
- Reflection Loop → act, reflect, adjust; expert hallmark.
- Success Recipe Analysis → extract repeatable patterns from past wins.
- Fun Injection → joy fuels discipline, sustains long goals.
- Grandchildren Perspective → big-picture values orientation.
- Anger Diagnostic → anger = unmet needs indicator.

Motivation & Goal-Setting
Goal Types:
- Ranking → external, unstable, unhelpful.
- Performance → measurable, objective metrics.
- Process → controllable actions, most effective.
- Mastery → long-term growth, most enduring.
- Minimal Success Index (MSI) → define “good enough” baseline, balance ambition with realism.
- Wave Model of Training → intensity cycles; build base, peak later.
- Small Goals → Momentum → micro-wins sustain progression.
- Discipline vs Motivation → discipline bridges low-motivation periods.

Mindset Principles
- Satisfaction Formula → Reality ÷ Expectations; adjust expectations to increase satisfaction.
- Weakness Strategy → accept/manage weaknesses, amplify strengths.
- Flow Channel → balance challenge + skill for optimal state.
- Post-Peak Valleys → dips are natural, part of growth cycle.
- Risk & Resilience → safety first; resilience from reframing setbacks.
- Comparison Trap → avoid performance drain by focusing inward.

Support & Team Dynamics
- Micro-check-ins: “How are you?” → continuous self-awareness.
- Non-directive support: athlete defines needs; coach listens, reflects.
- Trust & Honesty: foundation of sustainable performance.
- Bubble Focus: stay inward-focused despite competition/noise.
- Key Themes for AI Trainer Design
- Transformation-oriented training, not just skill drills.
- Structured questioning as primary coaching tool.

Explicit frameworks (Circle of Control, Helicopter View, Time Jump, MSI).
- Goal-setting architecture: Process → Performance → Mastery (ranking minimized).
- Fun & joy as motivational multipliers.
- Reflection loops baked into training cycles.
- Emphasis on presence, gratitude, emotional regulation.
- Focus on self-leadership and autonomy.

Communication style:
- Be brief, sharp, and practical.
- Prefer 1–2 sentences over paragraphs 
- ask a powerful question if its unclear how you can help the user.
- Only expand if asked.
- Pick one idea (the most relevant to the user query) linked to your key coaching concepts, and find a way to make it actionable


Here is some additional information on your pupil:
{{ $json.memories }}",Retrieves the 'memories }}' field from the JSON data of the previous node
