Expression Name,Expression,Detailed Explanation
AI Agent - Generate Outline1: parameters.text,{{ $json.topic }},Retrieves the 'topic' field from the JSON data of the previous node
AI Agent - Generate Outline1: parameters.text,"=Create a clear, multi-level outline for a marketing blog post about: {{ $json.topic }}

Generate 4-6 main sections that would make for a comprehensive blog post. Be specific and actionable with the section titles.",Retrieves the '' field from the JSON data of the previous node
Blog editor: parameters.messages.values[0].content,{{ $json.final_blog }},Retrieves the 'final_blog' field from the JSON data of the previous node
Blog editor: parameters.messages.values[0].content,"=You are a blog editor. Review and optionally edit this blog post for continuity, flow, and consistency.

Blog Post:
{{ $json.final_blog }}

Provide an edited version that:
1. Ensures smooth transitions between sections
2. Maintains consistent tone throughout
3. Fixes any repetitive content
4. Enhances readability and flow
5. Keeps the practical, no-hype voice

Return the complete edited blog post.",Retrieves the '' field from the JSON data of the previous node
Set Topic: parameters.assignments.assignments[0].value,{{ $json.Topic }},Retrieves the 'Topic' field from the JSON data of the previous node
Set Topic: parameters.assignments.assignments[0].value,={{ $json.Topic }},Retrieves the 'Topic }}' field from the JSON data of the previous node
Write Sections: parameters.messages.values[0].content,{{ $('Set Topic').item.json.topic }},"Fetches data from the 'Set Topic' node, specifically accessing the topic field"
Write Sections: parameters.messages.values[0].content,{{ $json.section_title }},Retrieves the 'section_title' field from the JSON data of the previous node
Write Sections: parameters.messages.values[0].content,{{ $('On form submission').item.json.Topic }},"Fetches data from the 'On form submission' node, specifically accessing the Topic field"
Write Sections: parameters.messages.values[0].content,"=You are a marketing blog writer. Write a focused section with context from prior company writing.

Topic: {{ $('Set Topic').item.json.topic }}
Section Title: {{ $json.section_title }}

User's original query:
{{ $('On form submission').item.json.Topic }}

Write a focused section (3-6 paragraphs, concise) for this blog post. Use the retrieved context for facts and maintain a practical, no-hype tone. Make it actionable and specific to the topic.

Return only the section content, no title or extra formatting.","Message or content field populated with: You are a marketing blog writer. Write a focused section with context from prior company writing.

Topic: {{ $('Set Topic').item.json.topic }}
Section Title: {{ $json.section_title }}

User's original query:
{{ $('On form submission').item.json.Topic }}

Write a focused section (3-6 paragraphs, concise) for this blog post. Use the retrieved context for facts and maintain a practical, no-hype tone. Make it actionable and specific to the topic.

Return only the section content, no title or extra formatting."
Format Section: parameters.assignments.assignments[0].value,{{ $json.message.content || $json.content || 'Section content not available' }},Retrieves the 'content || 'Section content not available'' field from the JSON data of the previous node
Format Section: parameters.assignments.assignments[0].value,={{ $json.message.content || $json.content || 'Section content not available' }},Retrieves the 'content || 'Section content not available' }}' field from the JSON data of the previous node
Final Output: parameters.assignments.assignments[0].value,{{ $json.message.content }},Retrieves the 'content' field from the JSON data of the previous node
Final Output: parameters.assignments.assignments[0].value,={{ $json.message.content }},Retrieves the 'content }}' field from the JSON data of the previous node
Final Output: parameters.assignments.assignments[1].value,{{ ($json.message.content || $json.content || $('Assemble Blog').first().json.final_blog).split(' ').length }},Calculates word count by splitting text on spaces and counting the resulting array length
Final Output: parameters.assignments.assignments[1].value,={{ ($json.message.content || $json.content || $('Assemble Blog').first().json.final_blog).split(' ').length }},Calculates word count by splitting text on spaces and counting the resulting array length
Final Output: parameters.assignments.assignments[2].value,{{ Math.ceil(($json.message.content || $json.content || $('Assemble Blog').first().json.final_blog).split(' ').length / 200) + ' minutes' }},Calculates word count by splitting text on spaces and counting the resulting array length
Final Output: parameters.assignments.assignments[2].value,={{ Math.ceil(($json.message.content || $json.content || $('Assemble Blog').first().json.final_blog).split(' ').length / 200) + ' minutes' }},Calculates word count by splitting text on spaces and counting the resulting array length
Form: parameters.completionTitle,{{ $json.word_count }},Retrieves the 'word_count' field from the JSON data of the previous node
Form: parameters.completionTitle,{{ $json.average_reading_time }},Retrieves the 'average_reading_time' field from the JSON data of the previous node
Form: parameters.completionTitle,=Here is your finished blog. (Word count: {{ $json.word_count }} | Estimated Reading Time: {{ $json.average_reading_time }}),Retrieves the 'average_reading_time }})' field from the JSON data of the previous node
Form: parameters.completionMessage,{{ $json.final_blog_post }},Retrieves the 'final_blog_post' field from the JSON data of the previous node
Form: parameters.completionMessage,={{ $json.final_blog_post }},Retrieves the 'final_blog_post }}' field from the JSON data of the previous node
